2026-06-30 09:52:52.435 | WARNING  | modules.autoposter:generate_post:203 - Не удалось получить новости, откат к стандартным рубрикам
2026-06-30 09:52:52.436 | INFO     | modules.autoposter:generate_post:224 - Сгенерирован скрытый шифр для поста: MATRIX-527 на 54 ✨
2026-06-30 09:52:52.437 | INFO     | modules.autoposter:generate_post:245 - Генерация поста: <AsyncMock name='mock.autoposter.get_least_recent_rubric()' id='140218016893984'>, персонаж guzeeva, тема 'Почему твой персонаж — это ты в лучшие свои времена?'
2026-06-30 09:52:52.442 | INFO     | modules.autoposter:handle_diagnosis_comment:68 - Получен запрос на вскрытие от 12345 под постом 67890: 01.01.1990
2026-06-30 09:52:56.561 | SUCCESS  | modules.utils.pdf:generate_premium_pdf:80 - PDF успешно создан: test_output.pdf
2026-06-30 09:52:56.571 | SUCCESS  | modules.utils.docs:upload_pdf_to_vk:72 - Документ palmistry.pdf успешно загружен в ВК (попытка 1): doc27260796_702463127_test_access_key
2026-06-30 09:52:56.580 | SUCCESS  | modules.utils.docs:upload_pdf_to_vk:72 - Документ test.pdf успешно загружен в ВК (попытка 1): doc654321_123456
2026-06-30 09:52:56.591 | WARNING  | main:verify_vk_signature:81 - Signature mismatch! Expected (computed): 380btVrMzeEKKPp9EUHus1aZAKt3qY5s7uxCGFTRpbU | Received from VK: bHJNPfXXy1JFG2WQCmn-5VAw7TpzmaPuxNnhuan1Spg
2026-06-30 09:52:56.624 | INFO     | modules.autoposter:generate_post:224 - Сгенерирован скрытый шифр для поста: SYSTEM-340 на 97 ✨
2026-06-30 09:52:56.625 | INFO     | modules.autoposter:generate_post:245 - Генерация поста: PROVOCATION, персонаж messing, тема 'В каких сферах жизни ты добровольно отдаешь свою силу другим?'
2026-06-30 09:52:56.631 | INFO     | modules.autoposter:generate_post:224 - Сгенерирован скрытый шифр для поста: LOG-634 на 121 ✨
2026-06-30 09:52:56.631 | INFO     | modules.autoposter:generate_post:245 - Генерация поста: PROVOCATION, персонаж pythia, тема 'Как понять, кто рядом с тобой — союзник или энергетический вампир?'
