2026-07-10 06:32:28.370 | WARNING  | modules.autoposter:generate_post:258 - Не удалось получить новости, откат к стандартным рубрикам
2026-07-10 06:32:28.371 | INFO     | modules.autoposter:generate_post:279 - Сгенерирован скрытый шифр для поста: LOG-385 на 63 ✨
2026-07-10 06:32:28.372 | INFO     | modules.autoposter:generate_post:300 - Генерация поста: <AsyncMock name='mock.autoposter.get_least_recent_rubric()' id='139808495297712'>, персонаж blinovskaya, тема 'Как архетипы помогают принимать жесткие решения.'
2026-07-10 06:32:28.377 | INFO     | modules.autoposter:handle_diagnosis_comment:85 - Получен запрос на вскрытие от 12345 под постом 67890: 01.01.1990
2026-07-10 06:32:31.382 | ERROR    | modules.autoposter:handle_diagnosis_comment:104 - Ошибка получения скина из Redis: Request URL is missing an 'http://' or 'https://' protocol.
2026-07-10 06:32:36.522 | SUCCESS  | modules.utils.pdf:generate_premium_pdf:80 - PDF успешно создан: test_output.pdf
2026-07-10 06:32:36.533 | SUCCESS  | modules.utils.docs:upload_pdf_to_vk:72 - Документ palmistry.pdf успешно загружен в ВК (попытка 1): doc27260796_702463127_test_access_key
2026-07-10 06:32:36.542 | SUCCESS  | modules.utils.docs:upload_pdf_to_vk:72 - Документ test.pdf успешно загружен в ВК (попытка 1): doc654321_123456
2026-07-10 06:32:36.553 | WARNING  | main:verify_vk_signature:82 - Signature mismatch! Expected (computed): 380btVrMzeEKKPp9EUHus1aZAKt3qY5s7uxCGFTRpbU | Received from VK: bHJNPfXXy1JFG2WQCmn-5VAw7TpzmaPuxNnhuan1Spg
2026-07-10 06:32:36.598 | INFO     | modules.autoposter:generate_post:279 - Сгенерирован скрытый шифр для поста: DATA-738 на 128 ✨
2026-07-10 06:32:36.598 | INFO     | modules.autoposter:generate_post:300 - Генерация поста: PROVOCATION, персонаж rasputin, тема 'Почему ты притягиваешь «токсиков»: взгляд через синастрию.'
2026-07-10 06:32:36.602 | INFO     | modules.autoposter:generate_post:279 - Сгенерирован скрытый шифр для поста: PULSE-263 на 111 ✨
2026-07-10 06:32:36.602 | INFO     | modules.autoposter:generate_post:300 - Генерация поста: PROVOCATION, персонаж honest_oracle, тема 'Куда уходит твоя энергия в течение дня: аудит потерь.'
2026-07-10 06:32:36.604 | INFO     | modules.autoposter:generate_post:279 - Сгенерирован скрытый шифр для поста: NULL-182 на 188 ✨
2026-07-10 06:32:36.604 | INFO     | modules.autoposter:generate_post:300 - Генерация поста: PROVOCATION, персонаж rasputin, тема 'Как наладить отношения, если ваши «звезды» не сходятся?'
2026-07-10 06:32:36.609 | INFO     | modules.autoposter:generate_post:279 - Сгенерирован скрытый шифр для поста: NODE-896 на 194 ✨
2026-07-10 06:32:36.609 | INFO     | modules.autoposter:generate_post:300 - Генерация поста: PROVOCATION, персонаж professor, тема 'Как отличить свою истинную цель от навязанного желания.'
